threads,n,fpi,fpibympi
4,1000000,3.14071,0.000280957363707
8,1000000000,3.14166,2.14370281679e-05
4,100000000,3.1418,6.60004122335e-05
2,10000000,3.14126,0.000105886926306
2,1000000,3.14084,0.000239577078503
4,10000000,3.14153,1.99432570361e-05
8,1000000,3.13968,0.000608816546476
8,100000000,3.14155,1.35770593125e-05
1,10000000,3.142,0.00012966238947
1,1000000,3.14073,0.000274591165983
1,1000000000,3.14159,8.44663864921e-07
4,1000000000,3.14173,4.37187202005e-05
2,100000000,3.14189,9.46483019901e-05
1,100000000,3.14186,8.50990054047e-05
2,1000000000,3.14158,4.02776272678e-06
8,10000000,3.14116,0.000137717914924
